year,life
1985,74.3
1985,73.0
1985,72.55
1985,74.95
1985,71.4
1985,71.95
1985,74.75
1985,70.85
1985,72.6
1985,73.15
1985,72.55
1985,73.15
1985,72.75
1985,72.1
1985,72.5
1985,73.25
1985,73.25
1985,74.1
1985,73.45
1985,72.6
1985,72.75
1985,73.2
1985,71.8
1985,74.55
1985,74.0
1985,71.15
1985,73.0
1985,73.4
1985,72.2
1985,72.9
1985,74.05
1985,72.7
1985,73.25
1985,71.5
1985,72.65
1985,71.95
1985,73.8
1985,72.75
1985,72.45
1985,72.85
1985,75.05
1985,72.8
1985,73.05
1985,73.6
1985,71.8
1985,70.85
1985,74.15
1985,71.75
1985,74.35
1985,73.1
1985,72.65
1985,72.55
1985,72.8
1985,73.4
1985,72.65
1985,73.45
1985,73.05
1985,71.85
1985,68.6
1985,74.05
1985,73.45
1985,71.5
1985,72.6
1985,72.1
1985,73.95
1985,72.7
1985,72.15
1985,71.75
1985,73.1
1985,74.3
1985,74.3
1985,74.3
1985,74.3
1985,74.3
1985,74.3
1985,74.3
1985,74.3
1985,74.3
1985,74.3
1985,74.3
1985,74.3
1985,74.3
1985,74.3
1985,74.3
1985,74.3
1985,74.3
1985,74.3
1985,74.3
1985,74.3
1985,74.3
1985,74.3
1985,74.3
1985,74.3
1985,74.3
1985,74.3
1985,74.3
1985,74.3
1985,74.3
1985,75.25
1985,71.85
1985,75.5
1985,75.05
1985,73.8
1985,75.45
1985,75.45
1985,74.2
1985,75.65
1985,73.3
1985,72.4
1985,75.45
1985,74.05
1985,75.35
1985,74.6
1985,74.2
1985,73.65
1985,72.35
1985,73.85
1985,75.65
1985,75.15
1985,75.75
1985,73.1
1985,72.25
1985,75.7
1985,71.75
1985,74.65
1985,73.25
1985,75.0
1985,73.1
1985,72.6
1985,73.9
1985,73.95
1985,74.1
1985,69.75
1985,72.45
1985,72.25
1985,71.75
1985,74.3
1985,74.1
1985,74.6
1985,75.7
1985,74.0
1985,73.95
1985,74.05
1985,73.45
1985,73.95
1985,73.25
1985,75.1
1985,75.7
1985,72.5
1985,72.4
1985,74.8
1985,72.7
1985,73.5
1985,70.95
1985,74.3
1985,73.25
1985,74.75
1985,74.2
1985,74.25
1985,75.9
1985,72.6
1985,71.15
1985,70.95
1985,74.9
1985,72.7
1985,75.8
1985,72.25
1985,73.9
1985,70.1
1985,75.05
1985,72.3
1985,75.05
1985,74.85
1985,72.9
1985,73.45
1985,74.25
1985,75.6
1985,74.9
1985,75.8
1985,74.45
1985,73.8
1985,75.9
1985,70.65
1985,75.55
1985,72.4
1985,75.55
1985,74.55
1985,74.2
1985,72.9
1985,74.55
1985,75.0
1985,74.4
1985,75.8
1985,76.0
1985,74.95
1985,75.15
1985,73.95
1985,75.3
1985,73.2
1985,74.7
1985,75.05
1985,74.5
1985,72.9
1985,74.45
1985,75.4
1985,73.45
1985,74.05
1985,73.6
1985,75.1
1985,74.45
1985,74.75
1985,76.3
1985,75.7
1985,73.3
1985,74.5
1985,75.1
1985,75.8
1985,75.75
1985,76.2
1985,77.25
1985,76.5
1985,75.5
1985,76.4
1985,74.35
1985,74.45
1985,75.55
1985,73.75
1985,75.95
1985,73.25
1985,74.3
1985,76.6
1985,76.3
1985,76.8
1985,76.55
1985,76.05
1985,73.75
1985,76.4
1985,75.45
1985,74.25
1985,75.6
1985,74.0
1985,74.35
1985,74.6
1985,75.45
1985,74.8
1985,75.8
1985,76.75
1985,74.55
1985,72.9
1985,75.95
1985,76.45
1985,76.1
1985,76.9
1985,76.25
1985,75.4
1985,75.4
1985,76.45
1985,76.45
1985,75.6
1985,75.0
1985,76.05
1985,76.25
1985,76.1
1985,74.6
1985,75.25
1985,76.65
1985,74.4
1985,76.3
1985,76.2
1985,76.4
1985,76.45
1985,75.95
1985,75.25
1985,76.25
1985,76.9
1985,76.05
1985,75.85
1985,75.7
1985,76.1
1985,75.75
1985,76.45
1985,75.0
1985,75.8
1985,76.4
1985,75.2
1985,77.15
1985,75.45
1985,75.0
1985,76.35
1985,75.8
1985,75.7
1985,76.05
1985,76.3
1985,76.0
1985,75.1
1985,75.0
1985,75.7
1985,75.2
1985,76.35
1985,75.85
1985,75.4
1985,74.6
1985,76.05
1985,75.7
1985,75.75
1985,75.25
1985,76.3
1985,76.3
1985,76.35
1985,76.65
1985,74.8
1985,75.1
1985,76.45
1985,75.8
1985,75.55
1985,75.8
1985,75.8
1985,75.85
1985,75.85
1985,75.05
1985,75.15
1985,76.0
1985,74.5
1985,73.55
1985,72.85
1985,73.95
1985,72.75
1985,69.15
1985,69.15
1985,74.85
1985,73.65
1985,72.2
1985,73.7
1985,72.85
1985,75.45
1985,75.25
1985,73.2
1985,76.3
1985,74.4
1985,74.1
1985,75.75
1985,73.1
1985,73.65
1985,73.1
1985,71.9
1985,73.85
1985,75.75
1985,73.0
1985,71.6
1985,73.1
1985,73.65
1985,73.2
1985,72.2
1985,72.95
1985,72.05
1985,75.5
1985,74.35
1985,73.6
1985,73.2
1985,75.3
1985,73.5
1985,72.35
1985,72.45
1985,75.1
1985,75.7
1985,75.05
1985,72.9
1985,73.0
1985,72.2
1985,75.1
1985,74.05
1985,75.95
1985,74.6
1985,75.0
1985,73.8
1985,74.85
1985,71.6
1985,74.35
1985,75.1
1985,75.5
1985,75.5
1985,75.45
1985,74.2
1985,73.2
1985,74.75
1985,76.55
1985,75.5
1985,73.75
1985,74.0
1985,73.85
1985,72.45
1985,72.35
1985,72.2
1985,74.5
1985,74.25
1985,74.4
1985,73.45
1985,72.55
1985,72.85
1985,71.5
1985,71.75
1985,71.1
1985,73.5
1985,74.4
1985,72.05
1985,72.7
1985,70.8
1985,72.1
1985,71.0
1985,71.5
1985,71.95
1985,71.9
1985,70.9
1985,73.85
1985,70.55
1985,72.1
1985,70.4
1985,71.85
1985,71.85
1985,73.55
1985,74.65
1985,71.95
1985,71.6
1985,73.1
1985,72.2
1985,74.0
1985,73.65
1985,70.75
1985,72.8
1985,72.0
1985,74.55
1985,71.15
1985,71.85
1985,73.4
1985,71.35
1985,72.25
1985,70.8
1985,70.7
1985,73.05
1985,72.2
1985,71.05
1985,74.55
1985,71.75
1985,71.0
1985,71.9
1985,73.35
1985,70.75
1985,72.0
1985,73.1
1985,72.9
1985,71.2
1985,71.85
1985,74.35
1985,75.8
1985,72.9
1985,74.15
1985,72.95
1985,70.85
1985,74.0
1985,69.9
1985,72.7
1985,73.1
1985,72.7
1985,71.7
1985,75.55
1985,74.25
1985,74.0
1985,69.9
1985,72.8
1985,72.85
1985,72.95
1985,71.15
1985,72.6
1985,73.25
1985,71.9
1985,72.6
1985,72.25
1985,71.75
1985,70.6
1985,70.45
1985,71.95
1985,73.85
1985,72.25
1985,71.5
1985,71.85
1985,73.3
1985,73.25
1985,71.85
1985,71.1
1985,72.0
1985,73.75
1985,71.0
1985,73.85
1985,73.1
1985,70.65
1985,71.1
1985,71.35
1985,71.1
1985,70.9
1985,72.0
1985,71.95
1985,71.7
1985,73.1
1985,70.55
1985,72.25
1985,74.95
1985,72.9
1985,72.5
1985,70.25
1985,73.0
1985,72.7
1985,72.25
1985,71.45
